t_s,i_A,v_bank_V
-3.4987500e-03,2.7040,49.768
-3.4962500e-03,-2.5888,49.749
-3.4937500e-03,3.7712,49.788
-3.4912500e-03,-5.4016,49.780
-3.4887500e-03,3.4592,49.785
-3.4862500e-03,0.3024,49.765
-3.4837500e-03,2.4592,49.785
-3.4812500e-03,-11.7296,49.758
-3.4787500e-03,13.4272,49.802
-3.4762500e-03,8.4928,49.822
-3.4737500e-03,-9.9056,49.758
-3.4712500e-03,-4.7680,49.760
-3.4687500e-03,12.1536,49.782
-3.4662500e-03,-4.3536,49.776
-3.4637500e-03,-1.6416,49.774
-3.4612500e-03,-1.0080,49.776
-3.4587500e-03,4.4944,49.780
-3.4562500e-03,-1.4720,49.762
-3.4537500e-03,5.1536,49.778
-3.4512500e-03,-0.8160,49.779
-3.4487500e-03,-4.4016,49.761
-3.4462500e-03,3.5424,49.785
-3.4437500e-03,2.9760,49.788
-3.4412500e-03,-6.8688,49.753
-3.4387500e-03,2.9088,49.780
-3.4362500e-03,3.6784,49.789
-3.4337500e-03,-0.5600,49.769
-3.4312500e-03,-0.8624,49.747
-3.4287500e-03,7.4448,49.788
-3.4262500e-03,-6.8352,49.762
-3.4237500e-03,-1.2736,49.760
-3.4212500e-03,7.2000,49.797
-3.4187500e-03,-1.9984,49.773
-3.4162500e-03,-2.4336,49.767
-3.4137500e-03,1.8624,49.777
-3.4112500e-03,2.2672,49.778
-3.4087500e-03,-3.3632,49.766
-3.4062500e-03,3.8304,49.772
-3.4037500e-03,1.2400,49.783
-3.4012500e-03,-1.6016,49.751
-3.3987500e-03,-1.5600,49.765
-3.3962500e-03,5.9424,49.791
-3.3937500e-03,-1.0448,49.775
-3.3912500e-03,1.5168,49.771
-3.3887500e-03,-3.6400,49.782
-3.3862500e-03,2.2624,49.781
-3.3837500e-03,-0.4128,49.768
-3.3812500e-03,3.8368,49.774
-3.3787500e-03,-8.4736,49.754
-3.3762500e-03,2.6512,49.774
-3.3737500e-03,13.1184,49.813
-3.3712500e-03,-2.9648,49.781
-3.3687500e-03,-8.5376,49.757
-3.3662500e-03,8.0288,49.794
-3.3637500e-03,-0.5440,49.778
-3.3612500e-03,-0.9264,49.773
-3.3587500e-03,-2.2192,49.750
-3.3562500e-03,3.1072,49.767
-3.3537500e-03,-2.9360,49.773
-3.3512500e-03,6.9936,49.781
-3.3487500e-03,1.5232,49.777
-3.3462500e-03,-6.5472,49.759
-3.3437500e-03,2.0304,49.761
-3.3412500e-03,6.9008,49.795
-3.3387500e-03,-7.4960,49.762
-3.3362500e-03,-0.3968,49.755
-3.3337500e-03,4.3168,49.761
-3.3312500e-03,1.1440,49.756
-3.3287500e-03,-4.4304,49.761
-3.3262500e-03,12.4416,49.811
