t_s,i_A,v_bank_V
-3.4987500e-03,9.5168,49.814
-3.4962500e-03,2.2608,49.812
-3.4937500e-03,-6.3904,49.770
-3.4912500e-03,5.3152,49.796
-3.4887500e-03,-0.1232,49.805
-3.4862500e-03,-1.3728,49.827
-3.4837500e-03,-1.5184,49.797
-3.4812500e-03,3.1328,49.788
-3.4787500e-03,-2.8928,49.793
-3.4762500e-03,2.8656,49.786
-3.4737500e-03,1.7808,49.810
-3.4712500e-03,1.5024,49.804
-3.4687500e-03,-2.2112,49.763
-3.4662500e-03,4.8096,49.802
-3.4637500e-03,-6.2720,49.782
-3.4612500e-03,3.1120,49.795
-3.4587500e-03,1.0672,49.782
-3.4562500e-03,1.4000,49.783
-3.4537500e-03,-6.9264,49.779
-3.4512500e-03,9.0640,49.804
-3.4487500e-03,4.6528,49.814
-3.4462500e-03,-5.0288,49.767
-3.4437500e-03,-2.1824,49.787
-3.4412500e-03,7.7152,49.815
-3.4387500e-03,-4.6656,49.778
-3.4362500e-03,1.3104,49.785
-3.4337500e-03,-1.5232,49.795
-3.4312500e-03,2.6192,49.774
-3.4287500e-03,-0.9584,49.778
-3.4262500e-03,7.4976,49.807
-3.4237500e-03,-3.1184,49.791
-3.4212500e-03,-4.1104,49.775
-3.4187500e-03,4.1184,49.798
-3.4162500e-03,4.1664,49.808
-3.4137500e-03,-6.0368,49.790
-3.4112500e-03,1.3184,49.800
-3.4087500e-03,3.6608,49.796
-3.4062500e-03,0.0880,49.782
-3.4037500e-03,-0.9872,49.793
-3.4012500e-03,5.2288,49.818
-3.3987500e-03,-3.6864,49.776
-3.3962500e-03,-0.0912,49.784
-3.3937500e-03,2.8592,49.807
-3.3912500e-03,-1.4240,49.796
-3.3887500e-03,0.2448,49.781
-3.3862500e-03,0.8080,49.796
-3.3837500e-03,1.0656,49.791
-3.3812500e-03,-2.0096,49.789
-3.3787500e-03,3.3280,49.791
-3.3762500e-03,4.1328,49.815
-3.3737500e-03,-7.7808,49.758
-3.3712500e-03,5.2048,49.804
-3.3687500e-03,8.9792,49.818
-3.3662500e-03,-4.0256,49.779
-3.3637500e-03,-1.2688,49.762
-3.3612500e-03,-0.1488,49.803
-3.3587500e-03,2.8800,49.791
-3.3562500e-03,-1.2752,49.796
-3.3537500e-03,2.7472,49.803
-3.3512500e-03,-5.3136,49.803
-3.3487500e-03,3.6496,49.786
-3.3462500e-03,4.8672,49.823
-3.3437500e-03,-0.3008,49.793
-3.3412500e-03,-3.0944,49.788
-3.3387500e-03,3.8960,49.800
-3.3362500e-03,-1.8368,49.803
-3.3337500e-03,0.9392,49.798
-3.3312500e-03,-1.0112,49.797
-3.3287500e-03,1.5584,49.806
-3.3262500e-03,-5.6160,49.778
-3.3237500e-03,8.1472,49.812
-3.3212500e-03,8.9712,49.819
-3.3187500e-03,-6.9616,49.779
-3.3162500e-03,-2.1872,49.773
-3.3137500e-03,8.5456,49.805
-3.3112500e-03,-2.1152,49.804
-3.3087500e-03,-3.6448,49.784
-3.3062500e-03,3.1840,49.794
-3.3037500e-03,0.9008,49.805
-3.3012500e-03,-3.2752,49.783
-3.2987500e-03,5.7200,49.796
-3.2962500e-03,3.3840,49.793
-3.2937500e-03,-3.3872,49.782
-3.2912500e-03,-1.1504,49.791
-3.2887500e-03,2.9392,49.815
-3.2862500e-03,-0.8464,49.781
-3.2837500e-03,0.5168,49.787
-3.2812500e-03,0.7888,49.804
-3.2787500e-03,-0.9376,49.803
-3.2762500e-03,0.9296,49.803
-3.2737500e-03,7.2608,49.811
-3.2712500e-03,-1.5328,49.793
-3.2687500e-03,-5.5856,49.779
-3.2662500e-03,5.1264,49.815
-3.2637500e-03,3.5408,49.801
-3.2612500e-03,-4.3232,49.769
-3.2587500e-03,0.7968,49.789
-3.2562500e-03,1.0304,49.796
-3.2537500e-03,0.5232,49.787
-3.2512500e-03,2.1824,49.794
-3.2487500e-03,3.0416,49.817
-3.2462500e-03,-5.6240,49.784
-3.2437500e-03,2.2944,49.790
-3.2412500e-03,5.3936,49.814
-3.2387500e-03,-1.7360,49.790
-3.2362500e-03,-2.8480,49.777
-3.2337500e-03,3.1568,49.808
-3.2312500e-03,1.2064,49.800
-3.2287500e-03,-1.4256,49.781
-3.2262500e-03,0.3424,49.796
-3.2237500e-03,2.9264,49.801
-3.2212500e-03,-2.8688,49.776
-3.2187500e-03,2.9584,49.801
-3.2162500e-03,1.6704,49.817
-3.2137500e-03,-0.4768,49.776
-3.2112500e-03,1.4432,49.791
-3.2087500e-03,-0.4944,49.810
-3.2062500e-03,-2.8128,49.765
-3.2037500e-03,3.2784,49.802
-3.2012500e-03,1.4432,49.799
-3.1987500e-03,-2.9872,49.791
-3.1962500e-03,-0.1136,49.788
-3.1937500e-03,7.7520,49.815
-3.1912500e-03,0.4784,49.794
-3.1887500e-03,-2.9888,49.783
-3.1862500e-03,2.3744,49.796
-3.1837500e-03,-0.6464,49.791
-3.1812500e-03,0.5376,49.782
-3.1787500e-03,0.0496,49.798
-3.1762500e-03,0.5088,49.804
-3.1737500e-03,-4.3072,49.775
-3.1712500e-03,6.7776,49.794
-3.1687500e-03,5.5456,49.808
-3.1662500e-03,-5.0832,49.789
-3.1637500e-03,-2.2464,49.780
-3.1612500e-03,9.3984,49.810
-3.1587500e-03,-4.8208,49.786
-3.1562500e-03,-0.7504,49.802
-3.1537500e-03,1.1216,49.793
-3.1512500e-03,2.2912,49.796
-3.1487500e-03,-3.4464,49.797
-3.1462500e-03,8.2192,49.820
-3.1437500e-03,-0.4992,49.796
-3.1412500e-03,-4.1328,49.780
-3.1387500e-03,1.7872,49.793
-3.1362500e-03,4.9888,49.820
-3.1337500e-03,-6.7072,49.770
-3.1312500e-03,3.3616,49.802
-3.1287500e-03,2.2320,49.786
-3.1262500e-03,0.0432,49.795
-3.1237500e-03,-2.5232,49.789
-3.1212500e-03,10.1072,49.815
-3.1187500e-03,-3.2032,49.783
-3.1162500e-03,-5.1984,49.767
-3.1137500e-03,5.0096,49.796
-3.1112500e-03,3.8400,49.797
-3.1087500e-03,-4.6464,49.775
-3.1062500e-03,2.1888,49.797
-3.1037500e-03,-1.1696,49.794
-3.1012500e-03,1.9264,49.782
-3.0987500e-03,1.7392,49.801
-3.0962500e-03,4.9296,49.812
-3.0937500e-03,-8.6320,49.775
-3.0912500e-03,4.4208,49.799
-3.0887500e-03,7.6480,49.819
-3.0862500e-03,-1.6352,49.797
-3.0837500e-03,-3.8320,49.772
-3.0812500e-03,2.7264,49.801
-3.0787500e-03,2.7984,49.796
-3.0762500e-03,-1.3328,49.793
-3.0737500e-03,0.1920,49.794
-3.0712500e-03,2.1328,49.809
-3.0687500e-03,-4.6912,49.774
-3.0662500e-03,8.9216,49.829
-3.0637500e-03,3.3360,49.813
-3.0612500e-03,-6.4416,49.782
-3.0587500e-03,4.7872,49.772
-3.0562500e-03,0.6400,49.808
-3.0537500e-03,-1.8288,49.770
-3.0512500e-03,-1.5296,49.788
-3.0487500e-03,4.8224,49.795
-3.0462500e-03,-4.8384,49.787
-3.0437500e-03,2.3216,49.789
-3.0412500e-03,7.4336,49.818
-3.0387500e-03,0.4016,49.803
-3.0362500e-03,-4.8688,49.763
-3.0337500e-03,5.6720,49.793
-3.0312500e-03,-4.0592,49.795
-3.0287500e-03,1.8096,49.799
-3.0262500e-03,-0.2576,49.796
-3.0237500e-03,3.5984,49.783
-3.0212500e-03,-9.5488,49.773
-3.0187500e-03,10.8896,49.817
-3.0162500e-03,7.2464,49.827
-3.0137500e-03,-6.1744,49.783
-3.0112500e-03,-2.3824,49.790
-3.0087500e-03,9.4752,49.829
-3.0062500e-03,-4.5984,49.788
-3.0037500e-03,0.0672,49.798
-3.0012500e-03,0.1856,49.791
-2.9987500e-03,1.9680,49.789
-2.9962500e-03,-2.1680,49.781
-2.9937500e-03,7.9248,49.823
-2.9912500e-03,-1.2672,49.798
-2.9887500e-03,-4.5712,49.783
-2.9862500e-03,3.0256,49.804
-2.9837500e-03,5.3840,49.819
-2.9812500e-03,-5.8080,49.798
-2.9787500e-03,0.7632,49.801
-2.9762500e-03,4.4960,49.798
-2.9737500e-03,0.0368,49.800
-2.9712500e-03,-1.5584,49.789
-2.9687500e-03,8.1664,49.821
-2.9662500e-03,-4.6208,49.776
-2.9637500e-03,-2.9536,49.791
-2.9612500e-03,7.4544,49.837
-2.9587500e-03,-1.1008,49.811
-2.9562500e-03,-2.5696,49.775
-2.9537500e-03,3.0016,49.810
-2.9512500e-03,2.2368,49.806
-2.9487500e-03,-3.8672,49.796
-2.9462500e-03,3.7392,49.807
