t_s,i_A,v_bank_V
-3.4987500e-03,3.1216,49.289
-3.4962500e-03,-3.3344,49.313
-3.4937500e-03,2.0176,49.295
-3.4912500e-03,6.3264,49.302
-3.4887500e-03,-11.0336,49.286
-3.4862500e-03,5.4448,49.300
-3.4837500e-03,8.8608,49.299
-3.4812500e-03,-5.9280,49.300
-3.4787500e-03,-0.2912,49.300
-3.4762500e-03,1.4480,49.295
-3.4737500e-03,-0.0288,49.303
-3.4712500e-03,-1.2096,49.282
-3.4687500e-03,3.0192,49.296
-3.4662500e-03,-2.8752,49.299
-3.4637500e-03,-0.0064,49.290
-3.4612500e-03,7.6480,49.297
-3.4587500e-03,-0.1568,49.298
-3.4562500e-03,-4.5280,49.297
-3.4537500e-03,4.8800,49.305
-3.4512500e-03,-2.4208,49.302
-3.4487500e-03,0.3184,49.292
-3.4462500e-03,0.1392,49.292
-3.4437500e-03,0.4000,49.296
-3.4412500e-03,-7.5600,49.291
-3.4387500e-03,13.8400,49.283
-3.4362500e-03,8.7072,49.286
-3.4337500e-03,-16.2272,49.270
-3.4312500e-03,1.1840,49.296
-3.4287500e-03,13.5328,49.307
-3.4262500e-03,-6.4400,49.305
-3.4237500e-03,-5.9392,49.292
-3.4212500e-03,4.6480,49.302
-3.4187500e-03,5.0512,49.304
-3.4162500e-03,-2.5936,49.302
-3.4137500e-03,2.8848,49.292
-3.4112500e-03,0.3760,49.298
-3.4087500e-03,-1.1872,49.292
-3.4062500e-03,1.0832,49.297
-3.4037500e-03,0.1376,49.291
-3.4012500e-03,-4.2960,49.289
-3.3987500e-03,4.8784,49.301
-3.3962500e-03,1.9040,49.301
-3.3937500e-03,-3.2768,49.302
-3.3912500e-03,0.7600,49.299
-3.3887500e-03,13.3184,49.292
-3.3862500e-03,-15.1856,49.277
-3.3837500e-03,0.6144,49.284
-3.3812500e-03,13.2080,49.298
-3.3787500e-03,-1.6608,49.285
-3.3762500e-03,-7.6800,49.294
-3.3737500e-03,3.5296,49.302
-3.3712500e-03,2.6240,49.298
-3.3687500e-03,-1.3104,49.295
-3.3662500e-03,0.8480,49.308
-3.3637500e-03,1.1376,49.292
-3.3612500e-03,-1.6608,49.300
-3.3587500e-03,5.1264,49.306
-3.3562500e-03,0.5024,49.274
-3.3537500e-03,-2.3424,49.301
-3.3512500e-03,3.2960,49.293
-3.3487500e-03,-2.3664,49.291
-3.3462500e-03,-0.7440,49.301
-3.3437500e-03,1.5760,49.307
-3.3412500e-03,1.4144,49.306
-3.3387500e-03,-4.4208,49.306
-3.3362500e-03,4.5296,49.295
-3.3337500e-03,7.8688,49.301
-3.3312500e-03,-4.5280,49.292
-3.3287500e-03,-4.7808,49.312
-3.3262500e-03,10.3184,49.303
-3.3237500e-03,-5.5552,49.291
-3.3212500e-03,-2.5104,49.292
-3.3187500e-03,1.4672,49.291
-3.3162500e-03,4.5952,49.304
-3.3137500e-03,-7.8128,49.294
-3.3112500e-03,13.2736,49.289
-3.3087500e-03,-0.2464,49.292
-3.3062500e-03,-9.7488,49.283
-3.3037500e-03,4.4864,49.284
-3.3012500e-03,7.4544,49.299
-3.2987500e-03,-9.6384,49.313
-3.2962500e-03,1.6416,49.299
-3.2937500e-03,4.6032,49.296
-3.2912500e-03,0.5856,49.304
-3.2887500e-03,-2.4880,49.306
-3.2862500e-03,6.8704,49.293
-3.2837500e-03,-2.2224,49.289
-3.2812500e-03,-1.7648,49.292
-3.2787500e-03,0.0352,49.285
-3.2762500e-03,3.1488,49.298
-3.2737500e-03,-2.1600,49.300
-3.2712500e-03,1.7728,49.296
-3.2687500e-03,-1.5856,49.294
-3.2662500e-03,1.3200,49.303
-3.2637500e-03,3.4608,49.293
-3.2612500e-03,4.8944,49.289
-3.2587500e-03,-15.3616,49.281
-3.2562500e-03,13.2064,49.280
-3.2537500e-03,9.0768,49.284
-3.2512500e-03,-7.3792,49.282
-3.2487500e-03,-4.7024,49.291
-3.2462500e-03,4.8752,49.298
-3.2437500e-03,3.2080,49.301
-3.2412500e-03,-3.8416,49.302
-3.2387500e-03,0.3232,49.304
-3.2362500e-03,-2.8784,49.296
-3.2337500e-03,3.3792,49.289
-3.2312500e-03,11.9440,49.290
-3.2287500e-03,-5.0144,49.288
-3.2262500e-03,-6.9008,49.299
-3.2237500e-03,10.4960,49.298
-3.2212500e-03,-1.8240,49.298
