t_s,i_A,v_bank_V
-3.4987500e-03,-2.7632,49.732
-3.4962500e-03,-0.0224,49.719
-3.4937500e-03,-0.5808,49.720
-3.4912500e-03,0.8896,49.719
-3.4887500e-03,-2.6672,49.723
-3.4862500e-03,4.5632,49.721
-3.4837500e-03,2.3328,49.727
-3.4812500e-03,-3.4480,49.731
-3.4787500e-03,-1.5408,49.719
-3.4762500e-03,6.0912,49.735
-3.4737500e-03,-6.0704,49.704
-3.4712500e-03,-1.2688,49.731
-3.4687500e-03,1.6432,49.721
-3.4662500e-03,2.3520,49.741
-3.4637500e-03,-5.5168,49.713
-3.4612500e-03,9.1200,49.763
-3.4587500e-03,-1.7088,49.757
-3.4562500e-03,-4.0416,49.740
-3.4537500e-03,1.7056,49.727
-3.4512500e-03,2.6192,49.749
-3.4487500e-03,-5.3296,49.738
-3.4462500e-03,1.1808,49.720
-3.4437500e-03,0.8464,49.722
-3.4412500e-03,-0.6704,49.733
-3.4387500e-03,-0.8032,49.721
-3.4362500e-03,4.0528,49.728
-3.4337500e-03,-1.1072,49.728
-3.4312500e-03,-1.3968,49.709
-3.4287500e-03,-0.9856,49.705
-3.4262500e-03,1.2592,49.731
-3.4237500e-03,-0.6448,49.714
-3.4212500e-03,-1.4288,49.736
-3.4187500e-03,-1.0784,49.719
-3.4162500e-03,0.8288,49.719
-3.4137500e-03,2.1536,49.730
-3.4112500e-03,-0.1056,49.761
-3.4087500e-03,-5.0384,49.715
-3.4062500e-03,7.1392,49.740
-3.4037500e-03,3.6688,49.752
-3.4012500e-03,-4.8352,49.733
-3.3987500e-03,-0.3648,49.718
-3.3962500e-03,-0.4208,49.725
-3.3937500e-03,1.2256,49.723
-3.3912500e-03,-2.1248,49.734
-3.3887500e-03,0.2016,49.733
-3.3862500e-03,-1.4032,49.740
-3.3837500e-03,4.0688,49.721
-3.3812500e-03,1.2752,49.725
-3.3787500e-03,-2.3072,49.726
-3.3762500e-03,-2.5152,49.728
-3.3737500e-03,6.5328,49.725
-3.3712500e-03,-6.0096,49.730
-3.3687500e-03,-1.0928,49.718
