offset_mm,centre_x_mm,on_us,base_v_in,base_dv_mm_s,shot_v_in,shot_dv_mm_s,coil_dv_mm_s
0,-22.78,1500,0.2620,-48.00,0.2480,192.00,240.00
0,-22.78,1500,0.2580,-39.00,0.2720,176.00,215.00
3,-19.78,1500,0.2410,-43.00,0.2530,276.00,319.00
3,-19.78,1500,0.2400,-37.00,0.2420,287.00,324.00
6,-16.78,1500,0.2340,-40.00,0.2390,403.00,443.00
6,-16.78,1500,0.2220,-41.00,0.2730,384.00,425.00
9,-13.78,1500,0.1840,-10.00,0.2330,419.00,429.00
9,-13.78,1500,0.2370,-44.00,0.2450,435.00,479.00
9,-13.78,1500,0.2580,-37.00,0.2460,433.00,470.00
12,-10.78,1500,0.2410,-45.00,0.2320,333.00,378.00
12,-10.78,1500,0.2160,-31.00,0.2470,383.00,414.00
15,-7.78,1500,0.2340,-45.00,0.2260,223.00,268.00
15,-7.78,1500,0.2320,-40.00,0.2640,255.00,295.00
15,-7.78,1500,0.2320,-44.00,0.2320,252.00,296.00
