Designator,Mid X,Mid Y,Layer,Rotation
D1,10.000000,-10.900000,Top,0.000000
D2,30.000000,-10.900000,Top,0.000000
D3,50.000000,-10.900000,Top,0.000000
D4,75.000000,-10.900000,Top,0.000000
D5,130.000000,-10.900000,Top,0.000000
D6,190.000000,-10.900000,Top,0.000000
J1,210.500000,-6.000000,Top,-90.000000
R1,17.000000,-12.600000,Top,0.000000
R2,37.000000,-12.600000,Top,0.000000
R3,57.000000,-12.600000,Top,0.000000
R4,82.000000,-12.600000,Top,0.000000
R5,137.000000,-12.600000,Top,0.000000
R6,183.000000,-12.600000,Top,0.000000
