Comment,Designator,Footprint,LCSC Part #,Qty
10k,"RFP,RGS",R_0805_2012Metric,C25804,2
0.2m,RS1,Shunt_5930,C469442,1
100k,RD1,R_0805_2012Metric,C25803,1
10R,RG1,R_0805_2012Metric,C22859,1
5.1k,RD2,R_0805_2012Metric,C23186,1
6.8k,RB1,R_2512_6332Metric,C26073,1
AUX-BANK,J3,TerminalBarrier_1x02_P9.50mm,C707836,1
BZT52C15,DZ1,D_SOD-123,C19077412,1
CHARGE,J2,TerminalBarrier_1x02_P9.50mm,C707836,1
COIL,J1,TerminalBarrier_1x02_P9.50mm,C707836,1
MBR60100DC,D1,D2PAK_MBR60100DC,C6069541,1
UCC27524A,U1,SOIC-8_3.9x4.9mm_P1.27mm,C185857,1
