# source=omni.marble.coaster Kit extension (PhysX + PINN)
# charge_voltage_V=300.0
# capacitance_uF=470.0
# num_turns=30
# chi_eff=3.0
# inductance_uH=12.4061
# R_total_ohm=0.11021
# stored_energy_J=21.15
# rlc_regime=underdamped
# pinn_checkpoint=pinn_best.pt
# pinn_step=250000
# pinn_derived_b=True
# approach_velocity_mm_s=208.33
# exit_velocity_mm_s=937.5
# boost_ratio=4.5
# gate_vel_in_1_t_s=0.194
# gate_vel_in_2_t_s=0.29
# gate_entry_t_s=0.386
# gate_cutoff_t_s=0.418
# gate_vel_out_1_t_s=0.482
# gate_vel_out_2_t_s=0.546
t_s,x_mm,y_mm,z_mm,z_along_mm,r_mm,vx_mm_s,vy_mm_s,vz_mm_s,vel_axial_mm_s,current_A,V_cap_V,F_z_mN,F_r_mN,Bz_T,wire_temp_C,triggered,pulse_cut
0.002,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.004,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.006,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.008,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.01,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.012,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.014,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.016,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.018,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.02,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.022,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.024,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.026,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.028,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.03,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.032,0.3135,-20.0,12.0,-79.4235,7.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.034,0.2744,-19.9463,7.1485,-79.3698,2.1491,-27.7628,38.088,-10.2842,38.088,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.036,0.2744,-19.9463,7.1485,-79.3698,2.1491,-27.7628,38.088,-10.2842,38.088,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.038,0.2744,-19.9463,7.1485,-79.3698,2.1491,-27.7628,38.088,-10.2842,38.088,0.0,300.0,0.0,0.0,0.0,20.0,0,0
0.04,0.2744,-19.9463,7.1485,-79.3698,2.1491,-27.7628,38.088,-10.2842,38.088,0.0,300.0,0.0,0.0,0.0,20.0,0,0
